spelling,pronunciation,freq,syllables
distorted,d1stcrted,103,3
distortion,d1stcrSen,60,3
distract,d1str@kt,249,2
distracted,d1str@kt1d,377,3
distracted,d1str@kted,377,3
distracting,d1str@kt1N,130,3
distraction,d1str@kSen,200,3
distractions,d1str@kSenz,87,3
distraught,d1strct,79,2
distress,d1strEs,371,2
distressed,d1strEst,71,2
distressing,d1strEs1N,42,3
distribute,d1str1bjut,76,3
distributed,d1str1bjuted,67,4
distribution,d1str1bjuSen,157,4
distributor,d1str1bjut3r,78,4
district,d1str1kt,1068,2
distrust,d1str^st,38,2
disturb,d1st3rb,566,2
disturbance,d1st3rbens,201,3
disturbances,d1st3rbensez,42,4
disturbed,d1st3rbd,503,2
disturbing,d1st3rb1N,463,3
disturbs,d1st3rbz,46,2
ditch,d1C,401,1
ditched,d1Ct,118,1
ditches,d1Cez,41,2
ditching,d1C1N,40,2
ditto,d1to,85,2
ditz,d1ts,6,1
ditzes,d1ts1z,1,2
diva,dive,78,2
dive,d5v,654,1
diver,d5v3r,124,2
divers,d5v3rz,81,2
diversion,d1v3rSen,158,3
diversion,d5v3rZen,158,3
diversity,d1v3rseti,56,4
diversity,d5v3rseti,56,4
divert,d5v3rt,103,2
dives,d5vz,51,1
divide,d1v5d,298,2
divided,d1v5d1d,227,3
dividend,d1vedEnd,19,3
dividing,d1v5d1N,61,3
divine,d1v5n,594,2
diving,d5v1N,321,2
divinity,d1v1neti,43,4
division,d1v1Zen,946,3
divisions,d1v1Zenz,130,3
divorce,d1vcrs,1669,2
divorced,d1vcrst,821,2
divorces,d1vcrsez,47,3
divorcing,d1vcrs1N,51,3
divulge,d1v^lG,65,2
divulge,d5v^lG,65,2
divvied,d1vid,2,2
divvy,d1vi,22,2
dix,d1ks,185,1
dixie,d1ksi,209,2
dizziness,d1zines,47,3
dizzy,d1zi,430,2
do,du,312915,1
doable,duebel,47,3
dobby,dabi,56,2
dobie,dabi,63,2
doc,dak,4122,1
dock,dak,497,1
docked,dakt,56,1
docket,daket,61,2
docking,dak1N,108,2
docks,daks,188,1
docs,daks,51,1
doctor,dakt3r,13461,2
doctorate,dakt3ret,46,3
doctors,dakt3rz,1855,2
doctrine,daktr1n,43,2
doctrine,daktren,43,2
document,dakjumEnt,515,3
documentary,dakjemEnt3ri,298,5
documentary,dakjumEnt3ri,298,5
documentation,dakjemEnt8Sen,69,5
documentation,dakjumEnt8Sen,69,5
documented,dakjemEnted,83,4
documented,dakjumEnted,83,4
documents,dakjements,478,3
documents,dakjuments,478,3
dod,dad,93,1
dodd,dad,53,1
dodge,daG,396,1
dodged,daGd,46,1
dodger,daG3r,65,2
dodgers,daG3rz,113,2
dodging,daG1N,82,2
dodo,dodo,51,2
doe,do,221,1
does,d^z,34002,1
dog,dcg,9835,1
doggie,dcgi,169,2
doggone,dcgcn,148,2
doggy,dcgi,225,2
doghouse,dcghOs,57,2
dogma,dagme,13,2
dogs,dagz,2704,1
doing,du1N,52492,2
dojo,doGo,46,2
dolce,dolC8,48,2
dole,dol,49,1
doll,dal,1263,1
dollar,dal3r,1410,2
dollars,dal3rz,3998,2
dollars,dcl3rz,3998,2
dollhouse,dalhOs,22,2
dolls,dalz,289,1
dolly,dali,306,2
dolores,delcr1s,195,3
dolphin,dalfen,141,2
dolphins,dalfenz,202,2
dom,dam,262,1
domain,dom8n,132,2
dome,dom,100,1
domestic,demEst1k,351,3
domicile,dam1s1l,18,3
dominant,damenent,82,3
dominate,damen8t,95,3
dominated,damen8ted,75,4
domination,damen8Sen,79,4
dominion,dem1njen,58,3
dominique,damenik,76,3
dominique,dcmenik,76,3
domino,dameno,205,3
dominoes,damenoz,45,3
don,dan,321085,1
donald,daneld,873,2
donate,don8t,203,2
donated,don8ted,136,3
donating,don8t1N,66,3
donation,don8Sen,179,3
donations,don8Senz,76,3
done,d^n,24737,1
dong,dcN,176,1
donkey,daNki,273,2
donna,dane,1136,2
donny,dani,371,2
donor,don3r,208,2
donors,don3rz,59,2
donovan,daneven,190,3
donut,don^t,72,2
donuts,don^ts,148,2
doodah,duda,1,2
doodle,dudel,107,2
doohickey,duh1ki,17,3
dooley,duli,166,2
doom,dum,286,1
doomed,dumd,415,1
doomsday,dumzd8,41,2
door,dcr,14895,1
doorbell,dcrbEl,425,2
doorknob,dcrnab,86,2
doorman,dcrm@n,162,2
doormat,dcrm@t,28,2
doors,dcrz,1755,1
doorstep,dcrstEp,172,2
doorway,dcrw8,164,2
dopamine,dopem5n,77,3
dope,dop,820,1
doped,dopt,44,1
dopey,dopi,72,2
doppler,dapl3r,42,2
dora,dcre,137,2
dorian,dcrien,66,3
doris,dcr1s,453,2
doris,dcres,453,2
dork,dcrk,213,1
dorky,dcrki,50,2
dorm,dcrm,369,1
dormant,dcrment,59,2
dormitory,dcrmetcri,51,4
dorothy,dcreTi,895,3
dorothy,dcrTi,895,2
dory,dcri,185,2
dos,das,85,1
dos,dcs,85,1
dos,dos,85,1
dosage,dos1G,102,2
dose,dos,270,1
doses,dosez,85,2
dossier,dasi8,56,3
dossier,dcsi8,56,3
dost,dast,59,1
dot,dat,338,1
doth,dcT,117,1
dots,dats,156,1
dotted,dat1d,51,2
dotted,dated,51,2
dotty,dati,57,2
double,d^bel,3198,2
doubled,d^beld,182,2
doubles,d^belz,148,2
doubling,d^bl1N,50,2
doubt,dOt,3205,1
doubted,dOted,150,2
doubtful,dOtfel,83,2
doubting,dOt1N,65,2
doubts,dOts,332,1
douche,duS,120,1
dough,do,810,1
doughnut,don^t,215,2
doughnuts,donets,231,2
douglas,d^gles,365,2
dour,dO3r,8,2
dour,dOr,8,1
douse,dOs,41,1
dove,d^v,284,1
dove,dov,284,1
dover,dov3r,72,2
doves,d^vz,51,1
dow,dO,44,1
dowd,dOd,125,1
down,dOn,76004,1
downed,dOnd,54,1
downer,dOn3r,42,2
downfall,dOnfal,64,2
downfall,dOnfcl,64,2
downhill,dOnh1l,126,2
download,dOnlod,168,2
downloaded,dOnloded,77,3
downloading,dOnlod1N,58,3
downpour,dOnpcr,3,2
downright,dOnr5t,121,2
downs,dOnz,92,1
downside,dOns5d,66,2
downstairs,dOnstErz,1985,2
downstream,dOnstrim,64,2
downtown,dOntOn,1118,2
downward,dOnw3rd,60,2
dowry,dOri,75,2
doze,doz,20,1
dozed,dozd,41,1
dozen,d^zen,1231,2
dozens,d^zenz,280,2
drab,dr@b,41,1
draft,dr@ft,371,1
drafted,dr@fted,119,2
drag,dr@g,1349,1
dragged,dr@gd,589,1
dragging,dr@g1N,335,2
dragon,dr@gen,984,2
dragonfly,dr@genfl5,145,3
dragons,dr@genz,232,2
drags,dr@gz,61,1
drain,dr8n,440,1
drainage,dr8n1G,46,2
drained,dr8nd,111,1
drainer,dr8n3r,1,2
draining,dr8n1N,69,2
drains,dr8nz,78,1
drake,dr8k,304,1
dram,dr@m,10,1
drama,drame,1028,2
dramatic,drem@t1k,499,3
dramatically,drem@t1keli,47,5
drank,dr@Nk,656,1
drape,dr8p,53,1
drapes,dr8ps,152,1
drastic,dr@st1k,128,2
drat,dr@t,46,1
draught,dr@ft,24,1
draw,drc,2061,1
drawer,drc3r,663,2
drawer,drcr,663,1
drawers,drc3rz,218,2
drawers,drcrz,218,1
drawing,dra1N,817,2
drawings,drc1Nz,232,2
drawl,drcl,4,1
drawn,drcn,542,1
draws,drcz,195,1
dread,drEd,128,1
dreaded,drEded,69,2
dreadful,drEdfel,408,2
dreadfully,drEdfeli,65,3
dream,drim,6798,1
dreamed,drimd,784,1
dreamer,drim3r,155,2
dreamers,drim3rz,48,2
dreaming,drim1N,939,2
dreams,drimz,3285,1
dreamt,drEmt,339,1
dreamy,drimi,80,2
dreary,dr1ri,92,2
dress,drEs,4447,1
dressed,drEst,2394,1
dresser,drEs3r,182,2
dresses,drEs1z,497,2
dresses,drEsez,497,2
dressing,drEs1N,804,2
dressy,drEsi,32,2
drew,dru,1277,1
dribble,dr1bel,68,2
dried,dr5d,258,1
dries,dr5z,48,1
drift,dr1ft,327,1
drifted,dr1fted,92,2
drifter,dr1ft3r,54,2
drifting,dr1ft1N,162,2
driftwood,dr1ftwUd,43,2
drill,dr1l,701,1
drilled,dr1ld,53,1
drilling,dr1l1N,117,2
drills,dr1lz,71,1
drink,dr1Nk,12617,1
drinker,dr1Nk3r,95,2
drinking,dr1Nk1N,2685,2
drinks,dr1Nks,1744,1
drip,dr1p,261,1
dripping,dr1p1N,172,2
drippy,dr1pi,10,2
drive,dr5v,7810,1
driven,dr1ven,524,2
driver,dr5v3r,2416,2
drivers,dr5v3rz,340,2
drives,dr5vz,728,1
driveway,dr5vw8,343,2
driving,dr5v1N,3780,2
drizzle,dr1zel,22,2
drone,dron,144,1
drones,dronz,72,1
drool,drul,110,1
drooling,drul1N,127,2
droop,drup,17,1
drooping,drup1N,7,2
droopy,drupi,26,2
drop,drap,6661,1
dropout,drapOt,43,2
dropped,drapt,2482,1
dropping,drap1N,826,2
droppings,drap1Nz,40,2
drops,draps,525,1
dross,drcs,4,1
drought,drOt,70,1
drove,drov,1472,1
drown,drOn,540,1
drowned,drOnd,391,1
drowning,drOn1N,368,2
drowns,drOnz,40,1
drowsy,drOzi,37,2
drug,dr^g,2306,1
drugged,dr^gd,187,1
drugs,dr^gz,2464,1
drugstore,dr^gstcr,219,2
drum,dr^m,432,1
drummer,dr^m3r,187,2
drumming,dr^m1N,57,2
drums,dr^mz,367,1
drunk,dr^Nk,3904,1
drunkard,dr^Nk3rd,62,2
drunken,dr^Nken,315,2
drunks,dr^Nks,116,1
dry,dr5,2184,1
dryer,dr53r,231,2
drying,dr51N,85,2
dual,duel,57,2
dual,dul,57,1
dub,d^b,55,1
dubious,dubies,73,3
dublin,d^blen,62,2
ducats,d^kets,41,2
duchess,d^Ces,228,2
duck,d^k,1263,1
ducked,d^kt,61,1
ducking,d^k1N,72,2
duckling,d^kl1N,39,2
ducks,d^ks,432,1
ducky,d^ki,100,2
duct,d^kt,160,1
ducts,d^kts,55,1
dud,d^d,64,1
dude,dud,5071,1
dudes,dudz,345,1
dudley,d^dli,234,2
duds,d^dz,69,1
due,du,2275,1
duel,duel,120,2
duel,dul,120,1
dues,duz,104,1
duet,duEt,66,2
duff,d^f,67,1
duffel,d^fel,76,2
duffy,d^fi,112,2
dug,d^g,455,1
dugout,d^gOt,46,2
duh,d^,203,1
duke,duk,1277,1
dukes,duks,102,1
dull,d^l,616,1
dullness,d^lnes,7,2
duly,duli,69,2
dum,d^m,174,1
duma,dume,41,2
dumb,d^m,2395,1
dumber,d^m3r,88,2
dumbest,d^mest,128,2
dumbledore,d^mbeldcr,44,3
dumbo,d^mbo,47,2
dummies,d^miz,61,2
dummy,d^mi,500,2
dump,d^mp,1470,1
dumped,d^mpt,915,1
dumping,d^mp1N,203,2
dumpling,d^mpl1N,45,2
dumplings,d^mpl1Nz,81,2
dumps,d^mps,137,1
dumpster,d^mpst3r,203,2
dun,d^n,13,1
dundee,d^ndi,43,2
dune,dun,51,1
dunes,dunz,45,1
dung,d^N,90,1
dungeon,d^nGen,131,2
dunk,d^Nk,132,1
dunne,d^n,115,1
dunno,deno,204,2
duo,duo,77,2
duped,dupt,40,1
duplicate,duplek8t,117,3
duplicate,dupleket,117,3
duplicated,duplek8ted,42,4
duration,dUr8Sen,81,3
duress,dUrEs,59,2
durham,d3rem,204,2
during,d3r1N,3872,2
during,djUr1N,3872,2
during,dUr1N,3872,2
dusk,d^sk,61,1
dust,d^st,1216,1
dusted,d^sted,62,2
dusting,d^st1N,67,2
dusty,d^sti,283,2
dutch,d^C,761,1
dutchman,d^Cmen,83,2
duties,dutiz,402,2
duty,duti,2599,2
dwarf,dwcrf,157,1
dwarfs,dwcrfs,55,1
dwarves,dwcrvz,57,1
dwell,dwEl,142,1
dwelling,dwEl1N,68,2
dwelt,dwElt,5,1
dwight,dw5t,274,1
dwindle,dw1ndel,5,2
dye,d5,197,1
dyed,d5d,73,1
dying,d51N,3416,2
dyke,d5k,132,1
dynamic,d5n@m1k,107,3
dynamics,d5n@m1ks,43,3
dynamite,d5nem5t,515,3
dynasty,d5nesti,130,3
dysentery,d1sentEri,46,4
dysfunction,d1sf^NkSen,61,3
dysfunctional,d1sf^NkSenel,78,4
each,iC,12916,1
eager,ig3r,350,2
eagle,igel,586,2
eagles,igelz,190,2
ear,1r,1632,1
ear,ir,1632,1
earl,3rl,1042,1
earlier,3rlier,2010,3
earliest,3rliest,118,3
early,3rli,5510,2
earmuff,1rm^f,3,2
earmuff,irm^f,3,2
earn,3rn,783,1
earned,3rnd,646,1
earnest,3rn1st,80,2
earning,3rn1N,131,2
earnings,3rn1Nz,48,2
earns,3rnz,49,1
earplugs,1rpl^gz,43,2
earplugs,irpl^gz,43,2
earring,1r1N,138,2
earring,ir1N,138,2
earrings,1r1Nz,313,2
earrings,ir1Nz,313,2
ears,1rz,1705,1
ears,irz,1705,1
earth,3rT,5074,1
earthly,3rTli,76,2
earthquake,3rTkw8k,325,2
earthquakes,3rTkw8ks,68,2
earthworm,3rTw3rm,7,2
earwax,1rw@ks,9,2
earwax,irw@ks,9,2
ease,iz,974,1
easel,izel,14,2
easels,izelz,1,2
easement,izment,8,2
easier,izi3r,2012,3
easiest,iziest,204,3
easily,izeli,1151,3
east,ist,2527,1
easter,ist3r,382,2
eastern,ist3rn,414,2
eastman,istmen,57,2
easy,izi,13551,2
eat,it,12846,1
eaten,iten,927,2
eater,it3r,80,2
eating,it1N,3102,2
eats,its,645,1
eave,iv,5,1
eavesdrop,ivzdrap,40,2
eavesdropping,ivzdrap1N,53,3
ebb,Eb,18,1
ebenezer,Ebeniz3r,70,4
ebony,Ebeni,44,3
eccentric,EksEntr1k,179,3
eccentricity,Eksentr1seti,10,5
echelon,ESelan,45,3
echo,Eko,350,2
echoes,Ekoz,66,2
echoing,Eko1N,131,3
eclectic,1klEkt1k,20,3
eclipse,ekl1ps,144,2
economic,Ekenam1k,253,4
economic,ikenam1k,253,4
economics,Ekenam1ks,126,4
economics,ikenam1ks,126,4
economy,1kanemi,296,4
economy,ikanemi,296,4
ecstasy,Ekstesi,162,3
ecstatic,Ekst@t1k,69,3
eczema,Ekseme,9,3
ed,Ed,3858,1
eddy,Edi,184,2
edema,edime,54,3
eden,iden,199,2
edgar,Edg3r,646,2
edge,EG,1199,1
edges,EGez,145,2
edgy,EGi,116,2
edible,Edebel,70,3
edison,Ed1sen,122,3
edit,Edet,77,2
edited,Ed1ted,60,3
edith,id1T,189,2
editing,Ed1t1N,108,3
edition,ed1Sen,249,3
editions,ed1Senz,47,3
editor,Ed1t3r,633,3
editor,Edet3r,633,3
editorial,Edetcriel,111,5
editors,Edet3rz,79,3
educate,EGek8t,104,3
educate,EGjuk8t,104,3
educated,EGek8t1d,282,4
educated,EGjuk8t1d,282,4
education,EGek8Sen,996,4
education,EGjuk8Sen,996,4
educational,EGek8Senel,167,5
educational,EGjuk8Senel,167,5
educator,EGjuk8t3r,24,4
edward,Edw3rd,1051,2
edwards,Edw3rdz,238,2
eel,il,73,1
eels,ilz,61,1
eerie,1ri,89,2
effect,1fEkt,1219,2
effect,efEkt,1219,2
effect,ifEkt,1219,2
effective,1fEkt1v,536,3
effective,ifEkt1v,536,3
effectively,efEkt1vli,116,4
effects,1fEkts,649,2
effects,ifEkts,649,2
effervesce,Ef3rvEs,1,3
efficiency,ef1Sensi,139,4
efficient,1f1Sent,253,3
effort,Ef3rt,987,2
efforts,Ef3rts,375,2
egg,Eg,1328,1
egghead,EghEd,57,2
eggnog,Egncg,79,2
eggplant,Egpl@nt,56,2
eggs,Egz,1971,1
eggshell,EgSEl,23,2
ego,igo,382,2
egos,igoz,46,2
egregious,1griGes,17,3
egypt,iG1pt,270,2
egypt,iGept,270,2
egyptian,1G1pSen,203,3
egyptians,eG1pSenz,59,3
eiffel,5fel,95,2
eigen,5gen,1,2
eight,8t,5010,1
eighteen,8tin,310,2
eighth,8T,350,1
eights,8ts,61,1
eighty,8ti,129,2
einstein,5nst5n,269,2
eisenhower,5zenhO3r,145,4
either,5D3r,9308,2
either,iD3r,9308,2
eject,iGEkt,72,2
elaborate,1l@b3r8t,242,4
elaborate,1l@b3ret,242,4
elaine,1l8n,712,2
elaine,el8n,712,2
elaine,il8n,712,2
elastic,el@stek,53,3
elastic,il@stek,53,3
elbow,Elbo,313,2
elbows,Elboz,125,2
elder,Eld3r,359,2
elderly,Eld3rli,209,3
elders,Eld3rz,276,2
eldest,Eldest,77,2
eleanor,Elen3r,353,3
eleanor,Elencr,353,3
elect,1lEkt,72,2
elect,ilEkt,72,2
elected,1lEkt1d,370,3
elected,1lEkted,370,3
election,1lEkSen,560,3
elections,1lEkSenz,123,3
elective,1lEkt1v,52,3
electra,1lEktre,60,3
electric,1lEktr1k,874,3
electrical,1lEktr1kel,440,4
electrician,1lEktr1Sen,76,4
electricity,1lEktr1seti,584,5
electrocuted,1lEktrekjuted,66,5
electrocuted,ilEktrekjuted,66,5
electrocution,1lEktrekjuSen,50,5
electrocution,ilEktrekjuSen,50,5
electromagnetic,1lEktrom@gnEtek,96,6
electromagnetic,ilEktrom@gnEtek,96,6
electronic,1lEktran1k,350,4
electronics,1lEktraneks,139,4
electronics,ilEktraneks,139,4
electrons,1lEktranz,77,3
electrons,ilEktranz,77,3
elegance,Elegens,65,3
elegant,Elegent,320,3
element,El1ment,338,3
elementary,ElemEnt3ri,242,5
elements,Elements,352,3
elephant,Elefent,580,3
elephants,Elefents,223,3
elevate,Elev8t,43,3
elevated,Elev8ted,127,4
elevation,Elev8Sen,47,4
elevator,Elev8t3r,1245,4
elevators,Elev8t3rz,164,4
eleven,1lEven,662,3
eleven,ilEven,662,3
elf,Elf,193,1
eli,il5,435,2
eligible,EleGebel,169,4
elijah,El5Ge,96,3
elijah,il5Ge,96,3
eliminate,1l1men8t,305,4
eliminated,1l1men8ted,166,5
eliminated,il1men8ted,166,5
eliminating,1l1men8t1N,46,5
eliminating,il1men8t1N,46,5
elimination,1l1men8Sen,66,5
elimination,il1men8Sen,66,5
elite,1lit,151,2
elixir,1l1ks3r,46,3
elizabeth,1l1zeb1T,1160,4
elizabeth,1l1zebeT,1160,4
elk,Elk,306,1
ell,El,93,1
elle,El,165,1
ellen,Elen,1229,2
elm,Elm,73,1
elmer,Elm3r,134,2
elope,1lop,67,2
eloping,ilop1N,41,3
eloquent,Elekwent,49,3
else,Els,22907,1
elsewhere,ElswEr,315,2
elusive,1lusev,72,3
elusive,ilusev,72,3
elves,Elvz,178,1
elvis,Elv1s,537,2
email,im8l,106,2
embalming,1mbalm1N,40,3
embalming,1mbam1N,40,3
embalming,1mbclm1N,40,3
embark,1mbark,64,2
embark,Embark,64,2
embarrass,1mbEres,450,3
embarrassed,1mbErest,1093,3
embarrassing,1mbEres1N,1165,4
embarrassment,1mbEresment,247,4
embassy,Embesi,397,3
embedded,1mbEded,88,3
embedded,EmbEded,88,3
embezzlement,1mbEzelment,48,4
embezzlement,EmbEzelment,48,4
emboss,Embas,1,2
embrace,1mbr8s,386,2
embrace,Embr8s,386,2
embraced,1mbr8st,67,2
embraced,Embr8st,67,2
embracing,1mbr8s1N,41,3
embracing,Embr8s1N,41,3
embroidery,Embr2d3ri,25,4
emerald,Em3reld,131,3
emerald,Emreld,131,2
emerge,1m3rG,88,2
emerged,1m3rGd,75,2
emergencies,1m3rGensiz,106,4
emergencies,em3rGensiz,106,4
emergency,1m3rGensi,2776,4
emergency,im3rGensi,2776,4
emerging,1m3rG1N,62,3
emerson,Em3rsen,113,3
emery,Em3ri,97,3
emily,Em1li,1889,3
eminence,Emenens,96,3
eminent,Emenent,84,3
emissary,EmesEri,51,4
emma,Eme,801,2
emmy,Emi,187,2
emory,Em3ri,101,3
emotion,1moSen,423,3
emotion,imoSen,423,3
emotional,EmoSenel,1081,4
emotional,imoSenel,1081,4
emotionally,1moSeneli,354,5
emotionally,imoSeneli,354,5
emotions,1moSenz,558,3
empathy,EmpeTi,58,3
emperor,Emp3r3r,690,3
emphasis,Emfes1s,65,3
emphasize,Emfes5z,56,3
emphysema,Emfezime,28,4
empire,Emp5r,646,2
employ,1mpl2,171,2
employ,Empl2,171,2
employed,1mpl2d,209,2
employed,Empl2d,209,2
employee,1mpl2i,590,3
employee,Empl2i,590,3
employees,1mpl2iz,610,3
employees,Empl2iz,610,3
employer,1mpl23r,274,3
employer,Empl23r,274,3
employers,1mpl23rz,51,3
employers,Empl23rz,51,3
employment,1mpl2ment,272,3
employment,Empl2ment,272,3
emporium,Empcriem,44,4
empress,EmprEs,147,2
emptied,Emptid,95,2
emptiness,Emptines,92,3
empty,Empti,2409,2
emulsion,1m^lSen,8,3
enable,En8bel,75,3
encephalitis,EnsEfel5tes,11,5
enchant,EnC@nt,19,2
enchanted,EnC@nt1d,141,3
enchanting,1nC@nt1N,104,3
enchanting,EnC@nt1N,104,3
enclosed,1nklozd,75,2
enclosed,Enklozd,75,2
encoded,1nkoded,43,3
encoded,Enkoded,43,3
encore,aNkcr,126,2
encounter,1nkOnt3r,284,3
encountered,1nkOnt3rd,153,3
encountered,enkOnt3rd,153,3
encounters,1nkOnt3rz,84,3
encounters,enkOnt3rz,84,3
encourage,1nk3r1G,308,3
encouraged,1nk3r1Gd,168,3
encouraged,Enk3r1Gd,168,3
encouragement,1nk3r1Gment,112,4
encouraging,1nk3r1G1N,165,4
encroach,EnkroC,3,2
encrypted,1nkr1pted,86,3
encryption,1nkr1pSen,83,3
encyclopedia,1ns5klepidie,81,6
encyclopedia,1ns5klopidie,81,6
end,End,13559,1
endanger,1nd8nG3r,85,3
endanger,End8nG3r,85,3
endangered,1nd8nG3rd,128,3
endangered,End8nG3rd,128,3
endangering,1nd8nG3r1N,65,4
endangering,End8nG3r1N,65,4
endearing,End1r1N,44,3
endearing,Endir1N,44,3
endeavor,EndEv3r,76,3
ended,End1d,1511,2
ended,Ended,1511,2
ending,End1N,812,2
endings,End1Nz,106,2
endless,Endles,338,2
endlessly,Endlesli,71,3
endorse,1ndcrs,88,2
endorse,Endcrs,88,2
endorsement,1ndcrsment,71,3
endorsement,Endcrsment,71,3
ends,Endz,1563,1
endurance,1nd3rens,68,3
endurance,End3rens,68,3
endure,1ndUr,225,2
endure,EndjUr,225,2
endured,1ndjUrd,74,2
endured,1ndUrd,74,2
endured,EndjUrd,74,2
enduring,1ndjUr1N,48,3
enduring,1ndUr1N,48,3
enduring,EndjUr1N,48,3
enema,Eneme,72,3
enemies,Enemiz,985,3
enemy,Enemi,2474,3
energetic,En3rGEt1k,66,4
energies,En3rGiz,55,3
energy,En3rGi,1678,3
enforce,1nfcrs,86,2
enforced,1nfcrst,42,2
enforcement,Enfcrsment,339,3
engage,1ng8G,314,2
engaged,1ng8Gd,1327,2
engagement,Eng8Gment,666,3
engagements,1ng8Gments,51,3
engaging,1ng8G1N,98,3
engine,EnGen,1626,2
engineer,EnGen1r,596,3
engineered,EnG1nird,83,3
engineering,EnG1n1r1N,333,4
engineers,EnGen1rz,207,3
engines,EnGenz,543,2
england,1Nglend,1796,2
engle,ENgel,63,2
english,1Ngl1S,3777,2
english,1Nl1S,3777,2
englishman,1Ngl1Smen,119,3
engraved,1ngr8vd,85,2
enhance,1nh@ns,125,2
enhance,Enh@ns,125,2
enhanced,1nh@nst,49,2
enhanced,Enh@nst,49,2
enigma,en1gme,47,3
enjoy,EnG2,4222,2
enjoyable,1nG2ebel,99,4
enjoyable,EnG2ebel,99,4
enjoyed,EnG2d,926,2
enjoying,EnG21N,868,3
enjoyment,1nG2ment,69,3
enjoyment,EnG2ment,69,3
enjoys,1nG2z,150,2
enjoys,EnG2z,150,2
enlarge,1nlarG,45,2
enlarge,EnlarG,45,2
enlarged,1nlarGd,54,2
enlarged,EnlarGd,54,2
enlighten,1nl5ten,108,3
enlighten,Enl5ten,108,3
enlightened,1nl5tend,87,3
enlightened,Enl5tend,87,3
enlightenment,1nl5tenment,74,4
enlightenment,Enl5tenment,74,4
enlist,1nl1st,80,2
enlist,Enl1st,80,2
enlisted,Enl1st1d,174,3
enormous,1ncrmes,526,3
enormously,encrmesli,50,4
enormously,incrmesli,50,4
enough,1n^f,25568,2
enroll,Enrol,34,2
enrolled,1nrold,57,2
enrolled,Enrold,57,2
ensemble,ansambel,57,3
ensign,Ensen,181,2
enslaved,1nsl8vd,41,2
enslaved,Ensl8vd,41,2
ensure,1nSUr,253,2
ensure,EnSUr,253,2
enter,Ent3r,1516,2
entered,Ent3rd,747,2
entering,Ent3r1N,588,3
enterprise,Ent3rpr5z,413,3
enterprises,Ent3rpr5zez,110,4
enters,Ent3rz,194,2
entertain,Ent3rt8n,313,3
entertained,Ent3rt8nd,117,3
entertainer,Ent3rt8n3r,84,4
entertaining,Ent3rt8n1N,288,4
entertainment,Ent3rt8nment,640,4
enthusiasm,1nTuzi@zm,229,4
enthusiastic,enTuzi@st1k,142,5
entire,1nt5r,4070,2
entirely,1nt5rli,1026,3
entitled,Ent5teld,586,3
entity,Enteti,86,3
entomologist,EntemaleGest,19,5
entourage,ant3raZ,69,3
entourage,antUraZ,69,3
entrails,Entr8lz,45,2
entrance,Entrens,800,2
entrances,Entrensez,58,3
entrapment,1ntr@pment,43,3
entree,antr8,42,2
entrepreneur,antrepren3r,55,4
entrepreneur,antreprenUr,55,4
entries,Entriz,60,2
entrusted,1ntr^sted,86,3
entry,Entri,620,2
envelope,EnvElep,513,3
envelope,Envelop,513,3
envelopes,anvelops,73,3
envelopes,Envelops,73,3
envied,Envid,51,2
envious,Envies,64,3
environment,1nv5renment,652,4
environmental,1nv5renmEntel,167,5
envoy,Env2,44,2
envy,Envi,487,2
enzyme,Enz5m,54,2
enzymes,Enz5mz,47,2
eons,ianz,44,2
epi,Epi,135,2
epic,Ep1k,120,2
epidemic,Ep1dEm1k,174,4
epidemic,EpedEm1k,174,4
epigrammatic,Epegrem@t1k,1,5
epilepsy,EpelEpsi,53,4
epileptic,EpelEpt1k,61,4
epinephrine,Ep1nEfr1n,59,4
epiphany,1p1feni,66,4
episode,Ep1sod,627,3
episodes,Epesodz,105,3
epitome,1p1temi,22,4
equal,ikwel,682,2
equality,1kwaleti,97,4
equality,ikwaleti,97,4
equally,ikweli,274,3
equals,ikwelz,234,2
equation,1kw8Zen,178,3
equations,1kw8Zenz,50,3
equator,ekw8t3r,31,3
equilibrium,ikwel1briem,46,5
equipment,1kw1pment,1298,3
equipped,1kw1pt,217,2
equity,Ekweti,67,3
equivalent,1kw1velent,134,4
era,1re,291,2
era,Ere,291,2
erase,1r8s,317,2
erase,ir8s,317,2
erased,1r8st,199,2
erased,ir8st,199,2
eraser,1r8s3r,51,3
eraser,ir8s3r,51,3
ere,Er,120,1
erect,1rEkt,60,2
erection,1rEkSen,111,3
erection,erEkSen,111,3
ergo,3rgo,43,2
eric,Er1k,2080,2
erica,Er1ke,273,3
erika,Er1ke,85,3
erin,Er1n,360,2
ermine,3rmen,35,2
ernest,3rn1st,238,2
ernest,3rnest,238,2
erotic,1rat1k,200,3
err,3r,77,1
err,Er,77,1
errand,Erend,204,2
errands,Erendz,195,2
erratic,1r@tek,85,3
error,Er3r,473,2
errors,Er3rz,87,2
erupt,1r^pt,20,2
erupt,ir^pt,20,2
eruption,1r^pSen,20,3
eruption,ir^pSen,20,3
escalated,Eskel8ted,40,4
escalator,Eskel8t3r,66,4
escape,1sk8p,2258,2
escaped,1sk8pt,991,2
escapes,1sk8ps,131,2
escaping,1sk8p1N,162,3
eschew,ESu,1,2
eschewed,ESud,1,2
eschews,ESuz,2,2
escort,Eskcrt,749,2
escorted,Eskcrted,83,3
escorting,Eskcrt1N,48,3
escorts,Eskcrts,64,2
escrow,Eskro,79,2
eskimo,Eskemo,84,3
eskimos,Esk1moz,41,3
especially,espESeli,3428,4
